ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
11566;205_Hospital de S.Joao Exterior_Amial;1486;73;1;1040;1;Y
8105;601_Freixieiro_Aeroporto;86;107;1;2900;1;Y
8106;601_Aeroporto_Freixieiro;107;86;1;3000;1;Y
8107;706_Hospital de S.Joao_Areosa;28;27;1;1610;1;Y
8108;706_Areosa_Hospital de S.Joao;27;28;1;2080;1;Y
8109;706_Areosa_Parada;27;115;1;5030;1;Y
8110;706_Parada_Areosa;115;27;1;4810;1;Y
8111;706_Parada_Monte Penedo;115;1113;1;4420;1;Y
8112;706_Monte Penedo_Parada;1113;115;1;4100;1;Y
8113;706_Monte Penedo_Travagem;1113;171;1;2890;1;Y
8114;706_Travagem_Monte Penedo;171;1113;1;2920;1;Y
8115;706_Travagem_Ermesinde;171;63;1;1980;1;Y
8116;706_Ermesinde_Travagem;63;171;1;2080;1;Y
8127;803_Rio Tinto(Igreja)_ Rio Tinto(estaca);1126;1127;1;1070;1;Y
8145;205_Campanha_Freixo;34;51;1;1580;1;Y
8146;205_Freixo_S.Roque;51;7;1;2990;1;Y
