ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
172389;402_S.Roque_Bom Sucesso;N;0;0
172459;706_Hospital de S.Joao_Ermesinde;N;0;0
172460;706_Ermesinde_Hospital de S.Joao;N;0;0
172492;804_Hospital de S.Joao_S.Pedro da Cova;N;0;0
172493;804_S.Pedro da Cova_Hospital de S.Joao;N;0;0
172497;806_Marques_Carvalha;N;0;0
172498;806_Carvalha_Marques;N;0;0
172499;901_Trindade_Valadares;N;0;0
172500;Apagar;N;0;0
172501;902_Casa da Musica_Lavadores;N;0;0
172502;902_Lavadores_Casa da Musica;N;0;0
172515;UON_Azevedo;Y;1;0
172516;Azevedo_UON;Y;1;0
172554;UOF_Santa Luzia;Y;1;0
172555;Santa Luzia_UOF;Y;1;0
172556;UOF_S.Roque;Y;1;0
172557;UOF_Matosinhos Mercado;Y;1;0
172558;Matosinhos Mercado_UOF;Y;1;0
172559;UOF_Matosinhos Praia;Y;1;0
172560;Matosinhos Praia_UOF;Y;1;0
172561;502_Boavista_Bolhao;N;0;0
172566;UOF_Amial;Y;1;0
1611341;1M_Aliados_Castelo do Queijo;N;0;0
1613906;507_Boavista_Leca;N;0;0
1611343;1M_Castelo do Queijo_Aliados;N;0;0
1612346;88_Praca_Santo Ovidio;N;0;0
172575;UOF_Casa da Musica;Y;1;0
172576;Casa da Musica_UOF;Y;1;0
178370;S.Mamede_UOF;Y;1;0
1612347;88_Santo Ovidio_Praca;N;0;0
172583;701_Alto da Maia_Codiceira;N;0;0
1612606;905_Batalha_Monte da Virgem;N;0;0
172585;702_Alto da Maia_Travagem;N;0;0
1612607;905_Monte da Virgem_Batalha;N;0;0
172587;704_Bom Sucesso_Codiceira;N;0;0
172588;704_Codiceira_Bom Sucesso;N;0;0
172589;704_Hospital de S.Joao_Codiceira;N;0;0
172590;704_Codiceira_Carvalhido;N;0;0
1612626;UON_Batalha;N;1;0
172592;800_S.Roque_Gondomar;N;0;0
1612627;Batalha_UON;N;1;0
172594;801_S.Roque_S.Pedro da Cova;N;0;0
1613288;Praca Cidade Salvador_UOF;N;1;0
175170;400_Freixo_Azevedo;N;0;0
175171;UON_Freixo;Y;1;0
1612045;400_Aliados_Azevedo;N;0;0
176630;S.Lazaro_UON;Y;1;0
1612046;400_Azevedo_Aliados;N;0;0
172608;UON_Trindade;Y;1;0
172609;Trindade_UON;Y;1;0
172614;902_Candal_Lavadores;N;0;0
172615;902_Lavadores_Candal;N;0;0
176650;800_Bolhao Mercado_Gondomar;N;0;0
176651;800_Gondomar_Bolhao Mercado;N;0;0
176990;UOF_Codiceira;Y;1;0
172678;206_Viso_Campanha;N;0;0
172692;503_Casa da Musica_Gatoes;N;0;0
172693;503_Gatoes_Casa da Musica;N;0;0
172694;503_Viso_Gatoes;N;0;0
172698;504_Casa da Musica_Norteshopping;N;0;0
172699;504_Norteshopping_Casa da Musica;N;0;0
172700;UOF_Norteshopping;Y;1;0
172701;Norteshopping_UOF;Y;1;0
172712;Santo Ovidio_UON;Y;1;0
172794;UON_Bolhao Mercado;Y;1;0
172795;Bolhao Mercado_UON;Y;1;0
172868;Sonhos_UON;Y;1;0
172869;S.Pedro da Cova_UON;Y;1;0
172971;502_Matosinhos_Bolhao;N;0;0
172988;1_Massarelos_Passeio Alegre;N;0;0
172989;1_Passeio Alegre_Massarelos;N;0;0
173008;18_Massarelos_Carmo;N;0;0
173009;18_Carmo_Massarelos;N;0;0
173028;1_Massarelos_Infante;N;0;0
173029;1_Infante_Massarelos;N;0;0
