ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
29521;PLumiar_Mg(Est);Y;1;0
29522;Mg(Est)_PLumiar;Y;1;0
76401;EStApoln_MMoniz;N;0;0
76402;Graca=MMoniz;N;0;0
76403;MMoniz_EStApoln;N;0;0
76404;MMoniz=Graca;N;0;0
72102;Amoreiras_Mf(Est);Y;1;0
72104;Mf(Est)_CSanto;Y;1;0
37193;CREst_BMDeus;Y;1;0
4004782;BAlfinetes_CREst;Y;1;0
44303;Pt(Est)_CUnivers;Y;1;0
44304;CUnivers_Pt(Est);Y;1;0
49508;PontinhM_Pt(Est);Y;1;0
72520;Mg(Est)_Saldanha;Y;1;0
72522;Saldanha_Mg(Est);Y;1;0
51347;Mf(Est)_AlcantT;Y;1;0
78785;CREst_Aerop;Y;1;0
55971;ECampol_Pt(Est);Y;1;0
