ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
814;Sete Rios;Sete Rios;38,742000579834;-9,16943740844727;T;Y;Y;1610
815;Sete Rios;Sete Rios;38,742130279541;-9,16880035400391;T;Y;Y;1611
816;Sete Rios;Sete Rios;38,7420997619629;-9,16855430603027;T;Y;Y;1612
817;Av. Jose Malhoa;Av. Jose Malhoa;38,7375717163086;-9,1645040512085;T;Y;Y;1613
818;Sete Rios;Sete Rios;38,7419204711914;-9,16908264160156;T;Y;Y;1614
819;Estr. Benfica (Furnas);Estr. Benfica (Furnas);38,7424201965332;-9,17240810394287;T;Y;Y;1615
820;Estr. Benfica (Furnas);Estr. Benfica (Furnas);38,7425804138184;-9,17266178131104;T;Y;Y;1616
821;Sete Rios (Expressos);Sete Rios (Expressos);38,7423782348633;-9,1657247543335;T;Y;Y;1617
822;Centro Saúde Sete Rios;Centro Saúde Sete Rios;38,7398681640625;-9,1689395904541;T;Y;Y;1618
823;SETE RIOS;SETE RIOS;38,7395896911621;-9,16673469543457;T;Y;Y;1619
824;Av. Columbano B. Pinheiro (Est. Sete Rios);Av. Columbano B. Pinheiro (Est. Sete Rios);38,7391700744629;-9,16751384735107;T;Y;Y;1620
825;Est. Sete  Rios;Est. Sete  Rios;38,7405700683594;-9,16740894317627;T;Y;Y;1621
826;Sete Rios;Sete Rios;38,7421989440918;-9,1683292388916;T;Y;Y;1622
827;Rot. Encarnacão;Rot. Encarnacão;38,7823715209961;-9,12600421905518;T;Y;Y;16301
828;Rot. Encarnacão;Rot. Encarnacão;38,7826499938965;-9,12521362304688;T;Y;Y;16302
829;Rot. Encarnacão;Rot. Encarnacão;38,783561706543;-9,12453556060791;T;Y;Y;16303
830;Rot. Encarnacão;Rot. Encarnacão;38,7839202880859;-9,12479209899902;T;Y;Y;16304
831;Qta. Francelha Cima;Qta. Francelha Cima;38,7858695983887;-9,12383460998535;T;Y;Y;16305
832;Qta. Francelha Cima;Qta. Francelha Cima;38,7860984802246;-9,12392044067383;T;Y;Y;16306
833;Qta. Francelha Baixo;Qta. Francelha Baixo;38,7884101867676;-9,12373733520508;T;Y;Y;16307
834;Qta. Francelha Baixo;Qta. Francelha Baixo;38,7883110046387;-9,12388801574707;T;Y;Y;16308
835;Prior Velho;Prior Velho;38,7901191711426;-9,12388801574707;T;Y;Y;16309
836;Prior Velho;Prior Velho;38,790210723877;-9,12435436248779;T;Y;Y;16310
837;PRIOR VELHO;PRIOR VELHO;38,7901153564453;-9,12388801574707;T;Y;Y;16311
838;R. Cabo Verde;R. Cabo Verde;38,7912292480469;-9,12091445922852;T;Y;Y;16312
839;Prior Velho - R. Maestro Lopes Graca;Prior Velho - R. Maestro Lopes Graca;38,7927398681641;-9,12160301208496;T;Y;Y;16313
840;R. Diu;R. Diu;38,7914886474609;-9,12333488464355;T;Y;Y;16314
841;Prior Velho;Prior Velho;38,7901992797852;-9,12312602996826;T;Y;Y;16315
842;Av. Fontes P. Melo;Av. Fontes P. Melo;38,7287788391113;-9,1477632522583;T;Y;Y;1701
843;Av. Fontes P. Melo;Av. Fontes P. Melo;38,7286109924316;-9,14814567565918;T;Y;Y;1702
844;Picoas;Picoas;38,7304992675781;-9,14670562744141;T;Y;Y;1703
845;Picoas;Picoas;38,7301292419434;-9,14721488952637;T;Y;Y;1704
846;Pc. Jose Fontana;Pc. Jose Fontana;38,7298812866211;-9,14349746704102;T;Y;Y;1706
847;Picoas;Picoas;38,7301292419434;-9,1454381942749;T;Y;Y;1707
848;Pc. Jose Fontana;Pc. Jose Fontana;38,7307395935059;-9,14376735687256;T;Y;Y;1709
850;Pc. Jose Fontana;Pc. Jose Fontana;38,7291107177734;-9,14407825469971;T;Y;Y;1712
851;Picoas;Picoas;38,7302207946777;-9,14687538146973;T;Y;Y;1713
852;Picoas;Picoas;38,7303695678711;-9,14706611633301;T;Y;Y;1714
853;Saldanha;Saldanha;38,7336807250977;-9,14456939697266;T;Y;Y;1801
854;Saldanha;Saldanha;38,7339096069336;-9,14511966705322;T;Y;Y;1802
855;Saldanha;Saldanha;38,733923;-9,145346;T;Y;Y;1803
856;Saldanha;Saldanha;38,7333297729492;-9,14537620544434;T;Y;Y;1804
857;Av. República;Av. República;38,7383499145508;-9,14577388763428;T;Y;Y;1805
858;Av. Duque D'avila;Av. Duque D'avila;38,7350158691406;-9,14628982543945;T;Y;Y;1806
